START_DATE,START_TIME,START_TIME_ET,SUBJECT,LOCATION,DESCRIPTION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET,REMINDER_OFF,REMINDER_ON,REMINDER_DATE,REMINDER_TIME,REMINDER_TIME_ET,SHOWTIMEAS_FREE,SHOWTIMEAS_BUSY
01/21/2017,8:00 PM,10:00 PM,Edmonton at Calgary,Scotiabank Saddledome - Calgary - AB, ,01/21/2017,01/22/2017,11:00 PM,1:00 AM,FALSE,TRUE,01/21/2017,7:00 PM,9:00 PM,FREE,BUSY
02/01/2017,8:00 PM,10:00 PM,Minnesota at Calgary,Scotiabank Saddledome - Calgary - AB, ,02/01/2017,02/02/2017,11:00 PM,1:00 AM,FALSE,TRUE,02/01/2017,7:00 PM,9:00 PM,FREE,BUSY
02/13/2017,7:00 PM,9:00 PM,Arizona at Calgary,Scotiabank Saddledome - Calgary - AB, ,02/13/2017,02/14/2017,10:00 PM,12:00 AM,FALSE,TRUE,02/13/2017,6:00 PM,8:00 PM,FREE,BUSY
02/15/2017,7:30 PM,9:30 PM,Philadelphia at Calgary,Scotiabank Saddledome - Calgary - AB, ,02/15/2017,02/16/2017,10:30 PM,12:30 AM,FALSE,TRUE,02/15/2017,6:30 PM,8:30 PM,FREE,BUSY
02/28/2017,7:00 PM,9:00 PM,Los Angeles at Calgary,Scotiabank Saddledome - Calgary - AB, ,02/28/2017,03/01/2017,10:00 PM,12:00 AM,FALSE,TRUE,02/28/2017,6:00 PM,8:00 PM,FREE,BUSY
03/03/2017,7:00 PM,9:00 PM,Detroit at Calgary,Scotiabank Saddledome - Calgary - AB, ,03/03/2017,03/04/2017,10:00 PM,12:00 AM,FALSE,TRUE,03/03/2017,6:00 PM,8:00 PM,FREE,BUSY
03/05/2017,2:00 PM,4:00 PM,Ny Islanders at Calgary,Scotiabank Saddledome - Calgary - AB, ,03/05/2017,03/05/2017,5:00 PM,7:00 PM,FALSE,TRUE,03/05/2017,1:00 PM,3:00 PM,FREE,BUSY
03/09/2017,7:00 PM,9:00 PM,Montreal at Calgary,Scotiabank Saddledome - Calgary - AB, ,03/09/2017,03/10/2017,10:00 PM,12:00 AM,FALSE,TRUE,03/09/2017,6:00 PM,8:00 PM,FREE,BUSY
03/13/2017,7:00 PM,9:00 PM,Pittsburgh at Calgary,Scotiabank Saddledome - Calgary - AB, ,03/13/2017,03/14/2017,10:00 PM,12:00 AM,FALSE,TRUE,03/13/2017,6:00 PM,8:00 PM,FREE,BUSY
03/15/2017,7:00 PM,9:00 PM,Boston at Calgary,Scotiabank Saddledome - Calgary - AB, ,03/15/2017,03/16/2017,10:00 PM,12:00 AM,FALSE,TRUE,03/15/2017,6:00 PM,8:00 PM,FREE,BUSY
03/17/2017,7:00 PM,9:00 PM,Dallas at Calgary,Scotiabank Saddledome - Calgary - AB, ,03/17/2017,03/18/2017,10:00 PM,12:00 AM,FALSE,TRUE,03/17/2017,6:00 PM,8:00 PM,FREE,BUSY
03/19/2017,7:30 PM,9:30 PM,Los Angeles at Calgary,Scotiabank Saddledome - Calgary - AB, ,03/19/2017,03/20/2017,10:30 PM,12:30 AM,FALSE,TRUE,03/19/2017,6:30 PM,8:30 PM,FREE,BUSY
03/27/2017,7:00 PM,9:00 PM,Colorado at Calgary,Scotiabank Saddledome - Calgary - AB, ,03/27/2017,03/28/2017,10:00 PM,12:00 AM,FALSE,TRUE,03/27/2017,6:00 PM,8:00 PM,FREE,BUSY
03/29/2017,7:00 PM,9:00 PM,Los Angeles at Calgary,Scotiabank Saddledome - Calgary - AB, ,03/29/2017,03/30/2017,10:00 PM,12:00 AM,FALSE,TRUE,03/29/2017,6:00 PM,8:00 PM,FREE,BUSY
03/31/2017,7:00 PM,9:00 PM,San Jose at Calgary,Scotiabank Saddledome - Calgary - AB, ,03/31/2017,04/01/2017,10:00 PM,12:00 AM,FALSE,TRUE,03/31/2017,6:00 PM,8:00 PM,FREE,BUSY
04/02/2017,7:30 PM,9:30 PM,Anaheim at Calgary,Scotiabank Saddledome - Calgary - AB, ,04/02/2017,04/03/2017,10:30 PM,12:30 AM,FALSE,TRUE,04/02/2017,6:30 PM,8:30 PM,FREE,BUSY
